,t,xi1,xi2,ui,xf1,xf2,uf
0,0,1.801848143,-6.058434039,0,1.322060278,-3.578646173,20
4,0.1,1.322060278,-3.578646173,20,1.078255409,-1.33484171,19.99999594
8,0.2,1.078255409,-1.33484171,19.99999594,0.976232205,-0.715935763,5.168827429
12,0.3,0.976232205,-0.715935763,5.168827429,0.913858022,-0.534570159,1.189914204
16,0.4,0.913858022,-0.534570159,1.189914204,0.860766673,-0.527376677,-0.45897866
20,0.5,0.860766673,-0.527376677,-0.45897866,0.812947233,-0.430624406,0.4893283
24,0.6,0.812947233,-0.430624406,0.4893283,0.778909416,-0.253090337,1.434962518
28,0.7,0.778909416,-0.253090337,1.434962518,0.758466918,-0.157354939,0.752929011
32,0.8,0.758466918,-0.157354939,0.752929011,0.746389734,-0.085387998,0.598897566
36,0.9,0.746389734,-0.085387998,0.598897566,0.739854396,-0.045975527,0.328771329
40,1,0.739854396,-0.045975527,0.328771329,9.584438467,-8.108728575,0
0,0,9.584438467,-8.108728575,0,8.854694515,-6.512745761,8.662388608
4,0.1,8.854694515,-6.512745761,8.662388608,8.254018388,-5.517363711,3.947059229
8,0.2,8.254018388,-5.517363711,3.947059229,7.744392748,-4.688953616,3.187844563
12,0.3,7.744392748,-4.688953616,3.187844563,7.314036009,-3.930814703,3.277821738
16,0.4,7.314036009,-3.930814703,3.277821738,6.957241181,-3.216977171,3.570427033
20,0.5,6.957241181,-3.216977171,3.570427033,6.670119246,-2.536795996,3.930592399
24,0.6,6.670119246,-2.536795996,3.930592399,6.449605952,-1.884342297,4.31940406
28,0.7,6.449605952,-1.884342297,4.31940406,6.29285923,-1.2609798,4.666157743
32,0.8,6.29285923,-1.2609798,4.666157743,6.195325448,-0.699059605,4.643864137
36,0.9,6.195325448,-0.699059605,4.643864137,6.141739275,-0.378013724,2.674597077
40,1,6.141739275,-0.378013724,2.674597077,1.59413169,-15.58596612,0
0,0,1.59413169,-15.58596612,0,0.207679273,-12.19951369,20
4,0.1,0.207679273,-12.19951369,20,-0.856509587,-9.135324808,20
8,0.2,-0.856509587,-9.135324808,20,-1.629102321,-6.362732057,20
12,0.3,-1.629102321,-6.362732057,20,-2.13784797,-3.853986395,20
16,0.4,-2.13784797,-3.853986395,20,-2.407854906,-1.583979461,19.99999999
20,0.5,-2.407854906,-1.583979461,19.99999999,-2.50783049,-0.434683954,10.49319923
24,0.6,-2.50783049,-0.434683954,10.49319923,-2.540011603,-0.212638439,1.898644016
28,0.7,-2.540011603,-0.212638439,1.898644016,-2.53992384,0.207394313,4.201205154
32,0.8,-2.53992384,0.207394313,4.201205154,-2.518613534,0.218624666,0.32540659
36,0.9,-2.518613534,0.218624666,0.32540659,-2.501290685,0.12932047,-0.719813469
40,1,-2.501290685,0.12932047,-0.719813469,5.008102311,-3.675186499,0
0,0,5.008102311,-3.675186499,0,4.659217815,-3.308611974,0.176900288
4,0.1,4.659217815,-3.308611974,0.176900288,4.34999628,-2.882912528,1.164779111
8,0.2,4.34999628,-2.882912528,1.164779111,4.082856495,-2.466816954,1.489557886
12,0.3,4.082856495,-2.466816954,1.489557886,3.856274989,-2.071402304,1.688331446
16,0.4,3.856274989,-2.071402304,1.688331446,3.668221257,-1.695929177,1.87419395
20,0.5,3.668221257,-1.695929177,1.87419395,3.516849027,-1.337488442,2.070685046
24,0.6,3.516849027,-1.337488442,2.070685046,3.400585283,-0.993518318,2.277063799
28,0.7,3.400585283,-0.993518318,2.277063799,3.317940427,-0.664855598,2.460178641
32,0.8,3.317940427,-0.664855598,2.460178641,3.266515394,-0.368582132,2.448484331
36,0.9,3.266515394,-0.368582132,2.448484331,3.238261854,-0.199309419,1.410191724
40,1,3.238261854,-0.199309419,1.410191724,2.754582761,-17.43874163,0
0,0,2.754582761,-17.43874163,0,1.191815443,-13.87597429,20
4,0.1,1.191815443,-13.87597429,20,-0.031909737,-10.6522491,20
8,0.2,-0.031909737,-10.6522491,20,-0.948856903,-7.735301912,20
12,0.3,-0.948856903,-7.735301912,20,-1.588219844,-5.095938957,20
16,0.4,-1.588219844,-5.095938957,20,-1.976414191,-2.707744601,20
